Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
F9ULJ6	F9ULJ6_LACPL	ABC transporter, ATP-binding and permease protein	lp_3648	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	596	lp_3648	67245					membrane [GO:0016020]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016020; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULJ7	F9ULJ7_LACPL	Transcription regulator, GntR family	lp_3649	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	349	lp_3649	38424				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9ULJ8	F9ULJ8_LACPL	Regulator, Fis family	lp_3650	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	288	lp_3650	32570									
F9ULJ9	F9ULJ9_LACPL	PTS system, glucitol/sorbitol-specific EIIA component (EC 2.7.1.69)	pts38A lp_3652	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	125	lp_3652	13481	2.7.1.69			phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	GO:0005737; GO:0008982; GO:0009401; GO:0103111	D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	
F9ULK1	F9ULK1_LACPL	PTS system, glucitol/sorbitol-specific EIIC component (EC 2.7.1.69)	pts38C lp_3654	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	183	lp_3654	20240	2.7.1.69			phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	membrane [GO:0016020]	membrane [GO:0016020]; D-glucosamine PTS permease activity [GO:0103111]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	GO:0009401; GO:0016020; GO:0103111	D-glucosamine PTS permease activity [GO:0103111]	
F9ULK2	F9ULK2_LACPL	Sorbitol operon activator	srlM2 lp_3655	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	168	lp_3655	19290									
F9ULK3	F9ULK3_LACPL	Sorbitol operon transcription antiterminator,BglG family (EC 1.1.1.140)	srlR2 lp_3656	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	621	lp_3656	71704	1.1.1.140			regulation of DNA-templated transcription [GO:0006355]		oxidoreductase activity [GO:0016491]; regulation of DNA-templated transcription [GO:0006355]	GO:0006355; GO:0016491	oxidoreductase activity [GO:0016491]	
F9ULK4	F9ULK4_LACPL	Sorbitol-6-phosphate 2-dehydrogenase	srlD2 lp_3657	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	267	lp_3657	28661						oxidoreductase activity [GO:0016491]	GO:0016491	oxidoreductase activity [GO:0016491]	
F9ULK8	F9ULK8_LACPL	Transcription regulator, LacI family, ribose	rbsR lp_3661	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	332	lp_3661	36855				regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0006355	DNA binding [GO:0003677]	
F9ULL0	F9ULL0_LACPL	Nucleotide-binding protein, universal stress protein UspA family	lp_3663	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	153	lp_3663	17119									
F9ULL1	F9ULL1_LACPL	Transcriptional regulator of phenolic acid metabolism, PadR family	padR lp_3664	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	181	lp_3664	21080									
F9ULL2	F9ULL2_LACPL	Phenolic acid decarboxylase (EC 4.1.1.-)	padA lp_3665	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	178	lp_3665	21010	4.1.1.-					carboxy-lyase activity [GO:0016831]	GO:0016831	carboxy-lyase activity [GO:0016831]	
F9ULL3	F9ULL3_LACPL	Aromatic compound hydratase/decarboxylase (EC 4.2.1.-)	lp_3666	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	266	lp_3666	28429	4.2.1.-					lyase activity [GO:0016829]	GO:0016829	lyase activity [GO:0016829]	
F9ULL4	F9ULL4_LACPL	Acetyltransferase, GNAT family	lp_3668	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	160	lp_3668	18409						acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
F9ULL5	F9ULL5_LACPL	DegV family protein	lp_3669	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	288	lp_3669	31792									
F9ULL6	F9ULL6_LACPL	Transcription regulator, Xre family	lp_3672	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	140	lp_3672	15488						DNA binding [GO:0003677]	GO:0003677	DNA binding [GO:0003677]	
F9ULL7	F9ULL7_LACPL	Aminopeptidase	pepC2 lp_3673	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	438	lp_3673	49998				proteolysis [GO:0006508]		cysteine-type aminopeptidase activity [GO:0070005]; proteolysis [GO:0006508]	GO:0006508; GO:0070005	cysteine-type aminopeptidase activity [GO:0070005]	
F9ULL9	F9ULL9_LACPL	Cell surface protein, CscC family	lp_3676	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	512	lp_3676	56801									
F9ULM0	F9ULM0_LACPL	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_3677	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	113	lp_3677	12872					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULM1	F9ULM1_LACPL	Cell surface protein, CscA/DUF916 family	lp_3678	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	353	lp_3678	39628					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULM2	F9ULM2_LACPL	Cell surface protein, CscB family	lp_3679	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	245	lp_3679	24647									
F9ULM6	F9ULM6_LACPL	Amidohydrolase family protein	lp_3684	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	417	lp_3684	45330						hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	
F9ULM7	F9ULM7_LACPL	ABC transporter, substrate binding protein	lp_3686	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	545	lp_3686	60539				transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; transmembrane transport [GO:0055085]	GO:0042597; GO:0043190; GO:0055085		
F9ULN1	F9ULN1_LACPL	Prophage P1 protein 19	lp_0642	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	286	lp_0642	32613				DNA repair [GO:0006281]		ATP binding [GO:0005524]; exonuclease activity [GO:0004527]; DNA repair [GO:0006281]	GO:0004527; GO:0005524; GO:0006281	ATP binding [GO:0005524]; exonuclease activity [GO:0004527]	
F9ULN2	F9ULN2_LACPL	Prophage P1 protein 20	lp_0643	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	310	lp_0643	35329									
F9ULN3	F9ULN3_LACPL	Prophage P1 protein 21	lp_0644	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	95	lp_0644	10875									
F9ULN5	F9ULN5_LACPL	Prophage P1 protein 23	lp_0646	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	177	lp_0646	20300									
F9ULN6	F9ULN6_LACPL	Prophage P1 protein 24, holliday junction resolvase	lp_0647	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	139	lp_0647	16188				DNA recombination [GO:0006310]; DNA repair [GO:0006281]		magnesium ion binding [GO:0000287]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	GO:0000287; GO:0006281; GO:0006310	magnesium ion binding [GO:0000287]	
F9ULN7	F9ULN7_LACPL	Prophage P1 protein 25	lp_0648	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	76	lp_0648	8882									
F9ULN8	F9ULN8_LACPL	Prophage P1 protein 26	lp_0649	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	43	lp_0649	4683									
F9ULN9	F9ULN9_LACPL	Prophage P1 protein 27	lp_0650	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	123	lp_0650	13920									
F9ULP0	F9ULP0_LACPL	Prophage P1 protein 28	lp_0651	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	35	lp_0651	3979					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULP1	F9ULP1_LACPL	Prophage P1 protein 29	lp_0652	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	60	lp_0652	6951									
F9ULP2	F9ULP2_LACPL	Prophage P1 protein 30	lp_0653	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	115	lp_0653	13154									
F9ULP3	F9ULP3_LACPL	Prophage P1 protein 31	lp_0654	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	146	lp_0654	16722									
F9ULP4	F9ULP4_LACPL	Prophage P1 protein 32	lp_0655	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	55	lp_0655	6122									
F9ULP5	F9ULP5_LACPL	Prophage P1 protein 33, phage transcription regulator, ArpU family	lp_0656	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	153	lp_0656	17723									
F9ULP6	F9ULP6_LACPL	Prophage P1 protein 35	lp_0658	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	260	lp_0658	30193					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULP7	F9ULP7_LACPL	Prophage P1 protein 36	lp_0659	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	100	lp_0659	11564					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULP8	F9ULP8_LACPL	Prophage P1 protein 37, terminase small subunit TerS	lp_0660	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	198	lp_0660	22370				chromosome organization [GO:0051276]		chromosome organization [GO:0051276]	GO:0051276		
F9ULP9	F9ULP9_LACPL	Prophage P1 protein 38, terminase large subunit TerL	lp_0661	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	428	lp_0661	50015									
F9ULQ0	F9ULQ0_LACPL	Prophage P1 protein 39, portal protein	lp_0662	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	552	lp_0662	62084									
F9ULQ1	F9ULQ1_LACPL	Prophage P1 protein 40, minor head protein	lp_0663	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	314	lp_0663	35369									
F9ULQ2	F9ULQ2_LACPL	Prophage P1 protein 41, scaffold protein	lp_0664	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	215	lp_0664	24077									
F9ULQ3	F9ULQ3_LACPL	Prophage P1 protein 42, major capsid protein	lp_0665	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	356	lp_0665	38732									
F9ULQ4	F9ULQ4_LACPL	Prophage P1 protein 43	lp_0666	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	121	lp_0666	13506									
F9ULQ5	F9ULQ5_LACPL	Prophage P1 protein 44	lp_0667	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	107	lp_0667	12118									
F9ULQ6	F9ULQ6_LACPL	Prophage P1 protein 45, head-tail joining protein	lp_0668	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	184	lp_0668	20123									
F9ULQ7	F9ULQ7_LACPL	Prophage P1 protein 46	lp_0669	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	128	lp_0669	14658									
F9ULQ8	F9ULQ8_LACPL	Prophage P1 protein 47, major tail protein 2 family	lp_0670	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	195	lp_0670	21265									
F9ULQ9	F9ULQ9_LACPL	Prophage P1 protein 48	lp_0671	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	170	lp_0671	19162									
F9ULR0	F9ULR0_LACPL	Prophage P1 protein 49	lp_0672	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	78	lp_0672	9282									
F9ULR1	F9ULR1_LACPL	Prophage P1 protein 50, tape measure protein	lp_0673	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	1334	lp_0673	146164					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULR2	F9ULR2_LACPL	Prophage P1 protein 51	lp_0674	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	245	lp_0674	28758									
F9ULR3	F9ULR3_LACPL	Prophage P1 protein 52, endolysin	lp_0675	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	624	lp_0675	71361				cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]		lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]	GO:0003796; GO:0009253; GO:0016998	lysozyme activity [GO:0003796]	
F9ULR4	F9ULR4_LACPL	Prophage P1 protein 53, GDSL-like lipase/acylhydrolase family	lp_0676	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	330	lp_0676	37117									
F9ULR5	F9ULR5_LACPL	Prophage P1 protein 54, minor head protein	lp_0677	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	204	lp_0677	22763									
F9ULR6	F9ULR6_LACPL	Prophage P1 protein 55	lp_0678	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	246	lp_0678	27666									
F9ULR7	F9ULR7_LACPL	Prophage P1 protein 56	lp_0679	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	106	lp_0679	11658									
F9ULR8	F9ULR8_LACPL	Prophage P1 protein 57	lp_0680	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	58	lp_0680	6664									
F9ULR9	F9ULR9_LACPL	Prophage P1 protein 58, lysin	lp_0681	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	382	lp_0681	41756				cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]; proteolysis [GO:0006508]		cysteine-type peptidase activity [GO:0008234]; lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]; proteolysis [GO:0006508]	GO:0003796; GO:0006508; GO:0008234; GO:0009253; GO:0016998	cysteine-type peptidase activity [GO:0008234]; lysozyme activity [GO:0003796]	
F9ULS0	F9ULS0_LACPL	Prophage P1 protein 59	lp_0682	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	98	lp_0682	11217					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULS1	F9ULS1_LACPL	Prophage P1 protein 60, holin	lp_0683	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	119	lp_0683	12409					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULS2	F9ULS2_LACPL	Prophage P1 protein 61	lp_0684	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	68	lp_0684	7535									
F9ULS3	F9ULS3_LACPL	Prophage P1 protein 63	lp_0686	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	89	lp_0686	10300									
F9ULS4	F9ULS4_LACPL	Prophage P1 protein 64	lp_0687	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	398	lp_0687	45246									
F9ULS5	F9ULS5_LACPL	DNA entry nuclease (EC 3.1.30.-)	lp_0688	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	325	lp_0688	36236	3.1.30.-					hydrolase activity [GO:0016787]	GO:0016787	hydrolase activity [GO:0016787]	
F9ULS6	F9ULS6_LACPL	Cell surface protein, lipoprotein	lp_0689	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	222	lp_0689	23137									
F9ULS8	F9ULS8_LACPL	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	lp_0691	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	191	lp_0691	21151	3.2.2.n1			cytokinin biosynthetic process [GO:0009691]		hydrolase activity [GO:0016787]; cytokinin biosynthetic process [GO:0009691]	GO:0009691; GO:0016787	hydrolase activity [GO:0016787]	
F9ULT1	F9ULT1_LACPL	Glutaredoxin-like protein NrdH	nrdH lp_0694	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	76	lp_0694	8633			FUNCTION: Electron transport system for the ribonucleotide reductase system NrdEF. {ECO:0000256|ARBA:ARBA00002292}.	cell redox homeostasis [GO:0045454]		cell redox homeostasis [GO:0045454]	GO:0045454		
F9ULT2	F9ULT2_LACPL	16S rRNA methyltransferase (EC 2.1.1.-)	rsmC lp_0695	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	202	lp_0695	22152	2.1.1.-			methylation [GO:0032259]		S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]	GO:0008757; GO:0032259	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
F9ULT7	F9ULT7_LACPL	DUF2508 family protein	lp_0701	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	83	lp_0701	9849									
F9ULT9	F9ULT9_LACPL	Protein from nitrogen regulatory protein P-II (GLNB) family	lp_0704	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	109	lp_0704	12004									
F9ULU0	F9ULU0_LACPL	DNA-directed DNA polymerase III, delta' subunit (EC 2.7.7.7)	holB lp_0705	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	339	lp_0705	37186	2.7.7.7			DNA replication [GO:0006260]		3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]	GO:0003887; GO:0006260; GO:0008408	3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]	
F9ULU7	F9ULU7_LACPL	Phosphonates ABC transporter, permease protein	phnE1 lp_0712	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	284	lp_0712	30641				transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0055085		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
